id,txid,e2e_id,pagador_nome,pagador_documento,pagador_banco,pagador_agencia,pagador_conta,recebedor_nome,recebedor_documento,recebedor_banco,recebedor_agencia,recebedor_conta,valor,data_transacao
18,bd6cc8547ac785205df1d202fdbe21a1,E45756448202411111805CocHegwgoUK,Carlos,55555555555,29030467,138,201205,Empresa Zeta,32328444806,45756448,1,5678901234,9209.37,2024-11-04 12:19:18.114
20,1c93fa6ab3c2e0a84d564c2e5e57b472,7ffa6c7f3f320b0991b896b0dd217944,Paula,6959628318,10573521,1073,37963,Empresa Eta,45678901234567,45756448,1,6789012345,8567.48,2024-11-04 12:19:18.114
21,5bae308841e3f2879a7fe6eaff7b210e,3cc9f6d8e983478020eee6cef8f2dfa6,Felipe,3084204762,90400888,8454,672955,Empresa Épsilon,23456789000123,45756448,1,4567890123,400.76,2024-11-04 12:19:18.114
22,5e376a135acfd9dd1e715ea8c5677ccd,96844d43e325e4f061bf02b0ceadb542,Lucas,6479455048,0,4649,35109,Empresa Theta,56789012345678,45756448,1,7890123456,7920.43,2024-11-04 12:19:18.114
23,035bd4f3f1674604fe665b7b60e0c228,00c42a8090448aa0a7d656f1c9253e31,Juliana,8063086617,0,1443,565073,Empresa Gama,56789012000134,45756448,1,2345678901,401.48,2024-11-04 12:19:18.114
24,01c8bc4925dfb3439130c936613f5b3c,3b958c8c3e4c71112ba0d3a9db549548,Maria,9438667791,15192228,5435,837834,Empresa Kappa,78901234567890,45756448,1,9012345678,5040.02,2024-11-04 12:19:18.114
25,ad0b0bccc6223b138742d181e6f13bbd,3edab627f956799c262629c65a933254,Maria,9926073660,60701190,9088,379946,Empresa Alpha,12345678000190,45756448,1,1234567890,1478.89,2024-11-04 12:19:18.114
26,dee635e6d8fb28459fd67c5024cdb38e,6d250f2a659189d92a57ef38e2ecedd4,João,9978413844,76543115,8028,113682,Empresa Iota,67890123456789,45756448,1,8901234567,9973.95,2024-11-04 12:19:18.114
27,2d53e16729b80b7dd9746d07328701e8,3e9fa1b4e551359a886bc40352105f39,Bianca,4863534422,795423,3057,53633,Empresa Beta,98765432000187,45756448,1,987654321,541.57,2024-11-04 12:19:18.114
28,cbcf0adc8832587a3cb5d606ea9ae2fd,df1d5341eb9dad22624c815b0db5884f,Maria,9696199013,29030467,5827,517365,Empresa Zeta,34567890123456,45756448,1,5678901234,1457.19,2024-11-04 12:19:18.114
29,d67128fea17030414a8555bcfaa713eb,90854c4dc86ee30f63ab77a968cf720c,Juliana,5501909196,76543115,96,967507,Empresa Delta,87654321000156,45756448,1,3456789012,7507.36,2024-11-04 12:19:18.114
30,412b2777419d444cf9560c749359178a,a96fcc774e6cc1b45431ed6b153a24ab,João,3442369925,10264663,9494,182553,Empresa Eta,45678901234567,45756448,1,6789012345,3261.9,2024-11-04 12:19:18.114
31,b8e0da146b1cdff6695c38820769e8b7,20158e1e18ced83b24f9b9e496a0e2e3,João,4059484148,10264663,708,320180,Empresa Épsilon,23456789000123,45756448,1,4567890123,1736.72,2024-11-04 12:19:18.114
32,657724fb779172c36c7e6bf1ab3eb6a0,290608ae8c4842d3db1161c1d45daa82,Maria,6935476421,10264663,5041,193041,Empresa Theta,56789012345678,45756448,1,7890123456,4214.14,2024-11-04 12:19:18.114
33,261c1d2872e9ccecad719ae35ddcd46f,e1ad29006ec234aca6ecf0894e6a10cc,Maria,4536695738,76543115,4930,478411,Empresa Gama,56789012000134,45756448,1,2345678901,7903.62,2024-11-04 12:19:18.114
34,ea2f9ef59f3df7ee4bc88afd748baa16,47a329d498981e62666174c3c7e9b1c5,Lucas,6933144021,29030467,6050,169620,Empresa Kappa,78901234567890,45756448,1,9012345678,6289.91,"2024-11-04 12:19:18.114"""
